Nome,Estacao,Clima,Horario,Localizacao,Preco_Base,Preco_Ouro,Preco_Iridio,Dificuldade,Comportamento,Xp_Pesca,Vara_Recomendada,Isca_Recomendada
Peixe_Fantasma,Primavera/Verão/Outono/Inverno,Qualquer,Qualquer_Hora,Minas,45,67,90,50,Misto,19,Vara_de_treinamento,Isca
Peixe_Pedra,Primavera/Verão/Outono/Inverno,Qualquer,Qualquer_Hora,Minas,300,450,600,65,Pesado,24,Vara_de_iridio_avancada,Isca_de_Desafio
Chione,Primavera/Verão/Outono/Inverno,Qualquer,Qualquer_Hora,Minas,500,750,1000,85,Dardo,31,Vara_de_fibra_de_vidro,Isca_de_Luxo
Enguia_de_Lava,Primavera/Verão/Outono/Inverno,Qualquer,Qualquer_Hora,Minas,700,1050,1400,90,Misto,33,Vara_de_iridio_avancada,Isca_de_Desafio
Areinha,Primavera/Verão/Outono/Inverno,Qualquer,6:00-20:00,Deserto,75,112,150,65,Misto,24,Vara_de_bambu,Isca
Carpa Escorpiônica,Primavera/Verão/Outono/Inverno,Qualquer,6:00-20:00,Deserto,150,225,300,90,Dardo,33,Vara_de_iridio_avancada,Isca_de_Desafio
Linguado,Primavera/Verão,Qualquer,6:00-20:00,Oceano/Ilha_Gengibre,100,150,200,50,Pesado,19,Vara_de_treinamento,Isca
Carpa_da_Meia_Noite,Outono/Inverno,Qualquer,22:00-2:00,Lago_Floresta/Lago_Montanha/Ilha_Gengibre,150,225,300,55,Misto,21,Vara_de_fibra_de_vidro,Isca_de_Luxo
Esturjão,Verão/Inverno,Qualquer,6:00-19:00,Lago_Montanha,200,300,400,78,Misto,29,Vara_de_iridio,Isca_de_Luxo
Salmão_Híbrido,Outono/Inverno,Qualquer,6:00-19:00,Rio_Cidade/Rio_Floresta,150,225,300,60,Dardo,23,Vara_de_fibra_de_vidro,Isca_de_Luxo
Peixe_gato_cabeçudo,Primavera/Verão/Outono/Inverno,Qualquer,Qualquer_Hora,Lago_Montanha,75,112,150,46,Suave,18,Vara_de_iridio_avancada,Isca_de_Desafio
Tilápia,Verão/Outono,Qualquer,6:00-14:00,Oceano/Ilha_Gengibre,75,112,150,50,Misto,19,Vara_de_treinamento,Isca
Esquálio,Primavera/Verão/Outono/Inverno,Qualquer,Qualquer_Hora,Rio_Floresta/Lago_Montanha,50,75,100,35,Dardo,14,Vara_de_bambu,Isca
Dourado,Verão,Qualquer,6:00-19:00,Rio_Floresta,100,150,200,78,Misto,29,Vara_de_iridio_avancada,Isca_de_Desafio
Albacora,Outono/Inverno,Qualquer,6:00-11:00/18:00-2:00,Oceano,75,112,150,60,Misto,23,Vara_de_fibra_de_vidro,Isca_de_Luxo
Alocine,Primavera/Verão/Outono,Chuva,9:00-2:00,Rio_Cidade/Rio_Floresta,60,90,120,45,Suave,18,Vara_de_bambu,Isca
Ófis,Inverno,Qualquer,Qualquer_Hora,Rio_Cidade/Rio_Floresta/Lago_Montanha,120,180,240,85,Misto,31,Vara_de_fibra_de_vidro,Isca_de_Luxo
Halibute,Primavera/Verão/Inverno,Qualquer,6:00-11:00/19:00-2:00,Oceano/Lago_Montanha,80,120,160,50,Pesado,19,Vara_de_fibra_de_vidro,Isca_de_Luxo
Madeirão,Primavera/Verão/Outono/Inverno,Qualquer,Qualquer_Hora,Lago_Bosque_Secreto,75,112,150,50,Misto,19,Vara_de_bambu,Isca
Salmão_Nulo,Primavera/Verão/Outono/Inverno,Qualquer,Qualquer_Hora,Pântano_da_bruxa,150,225,300,80,Misto,29,Vara_de_fibra_de_vidro,Isca_de_Luxo
Salmão_Mutante,Primavera/Verão/Outono/Inverno,Qualquer,Qualquer_Hora,Covil_Insetos_Mutantes,100,150,200,55,Dardo,21,Vara_de_iridio,Isca_de_Desafio
Peixe_leão,Primavera/Verão/Outono/Inverno,Qualquer,Qualquer_Hora,Ilha_Gengibre,100,150,200,50,Suave,19,Vara_de_fibra_de_vidro,Isca_de_Luxo
Acará_disco_Azul,Primavera/Verão/Outono/Inverno,Qualquer,Qualquer_Hora,Ilha_Gengibre,120,180,240,60,Dardo,23,Vara_de_bambu,Isca
Gobi,Primavera/Verão/Outono/Inverno,Qualquer,Qualquer_Hora,Lago_Floresta,150,225,300,55,Dardo,21,Vara_de_fibra_de_vidro,Isca_de_Luxo
Arraia,Primavera/Verão/Outono/Inverno,Qualquer,Qualquer_Hora,Ilha_Gengibre,180,270,360,80,Pesado,29,Vara_de_iridio_avancada,Isca_de_Desafio
Lula_da_Meia_noite,Inverno,Submerso ,17:00-2:00,Mercado_Noturno,100,150,200,55,Pesado,21,Vara_de_iridio,Isca_de_Luxo
Peixe_Assustador,Inverno,Submerso ,17:00-2:00,Mercado_Noturno,220,330,440,60,Dardo,23,Vara_de_iridio_avancada,Isca_de_Desafio
Peixe_bolha,Inverno,Submerso ,17:00-2:00,mercado_Noturno,500,750,1000,75,Flutuador,28,Vara_de_iridio,Isca_de_Luxo
Peixe_Carmim,Verão,Qualquer,Qualquer_Hora,Oceano,1500,2250,3000,95,Misto,170,Vara_de_iridio_avancada,Isca_de_Desafio
Tamboril,Outono,Qualquer,Qualquer_Hora,Rio_Cidade,900,1350,1800,85,Suave,155,Vara_de_iridio_avancada,Isca_de_Desafio
Lenda,Primavera,Chuva,Qualquer_Hora,Lago_Montanha,5000,7500,10000,110,Misto,195,Vara_de_iridio_avancada,Isca_de_Desafio
Peixe_Gelo,Inverno,Qualquer,Qualquer_Hora,Lago_Floresta,1000,1500,2000,100,Misto,180,Vara_de_iridio_avancada,Isca_de_Desafio
Carpa_Mutante,Primavera/Verão/Outono/Inverno,Qualquer,Qualquer_Hora,Esgoto,1000,1500,2000,80,Dardo,145,Vara_de_iridio_avancada,Isca_de_Desafio
Filho_do_Peixe_Carmim,Primavera/Verão/Outono/Inverno,Qualquer,Qualquer_Hora,Oceano,1500,2250,3000,95,Misto,170,Vara_de_iridio_avancada,Isca_de_Desafio
Srta_Tamboril,Primavera/Verão/Outono/Inverno,Qualquer,Qualquer_Hora,Rio_Cidade,900,1350,1800,85,Suave,155,Vara_de_iridio_avancada,Isca_de_Desafio
Lenda_II,Primavera/Verão/Outono/Inverno,Qualquer,Qualquer_Hora,Lago_Montanha,5000,7500,10000,110,Misto,170,Vara_de_iridio_avancada,Isca_de_Luxo
Peixe_Gelo_Jr,Primavera/Verão/Outono/Inverno,Qualquer,Qualquer_Hora,Lago_Floresta,1000,1500,2000,100,Misto,180,Vara_de_iridio,Isca_de_Desafio
Carpa_Radioativa,Primavera/Verão/Outono/Inverno,Qualquer,Qualquer_Hora,Esgoto,1000,1500,2000,80,Dardo,145,Vara_de_iridio_avancada,Isca_de_Desafio
Lagosta,Primavera/Verão/Outono/Inverno,Qualquer,Qualquer_Hora,Oceano,120,,,, ,,covo,Isca_de_Luxo
Concha,Primavera/Verão/Outono/Inverno,Qualquer,Qualquer_Hora,Oceano,50,75,100,,,,covo,Isca_de_Luxo
Caranguejo,Primavera/Verão/Outono/Inverno,Qualquer,Qualquer_Hora,Oceano,100,,,,,,covo,Isca_de_Luxo
Berbigão,Primavera/Verão/Outono/Inverno,Qualquer,Qualquer_Hora,Oceano,50,75,100,,,,covo,Isca_de_Luxo
Mexilhão,Primavera/Verão/Outono/Inverno,Qualquer,Qualquer_Hora,Oceano,30,45,60,,,,covo,Isca_de_Luxo
Camarão,Primavera/Verão/Outono/Inverno,Qualquer,Qualquer_Hora,Oceano,60,,,,,,covo,Isca_de_Luxo
Ostra,Primavera/Verão/Outono/Inverno,Qualquer,Qualquer_Hora,Oceano,40,60,80,,,,covo,Isca_de_Luxo
Lagostim,Primavera/Verão/Outono/Inverno,Qualquer,Qualquer_Hora,Oceano,75,,,,,,covo,Isca_de_Luxo
Lesma,Primavera/Verão/Outono/Inverno,Qualquer,Qualquer_Hora,Oceano,65,,,,,,covo,Isca_de_Luxo
Caramujo,Primavera/Verão/Outono/Inverno,Qualquer,Qualquer_Hora,Oceano,20,,,,,,covo,Isca_de_Luxo
